ACCT|GENDER|ID1|ID2|DECIMAL_COLUMN|DATE_COLUMN|FIRST_NAME|LAST_NAME|ANY_NAME|ORG_NAME|FULL_NAME|CAL|SIN|NARROW|DT2
WZ2MQQ1186|M|5469|1992111031|1.5577|1995-04-22|Emily|Green|Avery Roberts|Elite Innovations ltd.|Emily Green|IVK9F8IEFVJTT6U37MDQPSLE78Q9I32UE7EX0WOVIX2RV|6677|Q0J4|1975-07-25 09:31:18:000000
VIX9WGBQ98|F|7993|1866201455|3.9205|2059-08-10|Henry|Scott|Hannah Lopez|BlueSky Ventures gmbh|Henry Scott|Z8RQKFKDIH2B8F2CP6B7JHCTPWKBXHYKFIRO2LAAMESTF|4951|DEU2|1972-08-26 19:07:53:000000
2ZAUA7GDL6|M|6877|104069573|1.2543|1945-03-04|Jackson|Rodriguez|Christopher Rodriguez|BlueSky Ventures ltd.|Jackson Rodriguez|WKDB3C79E4HKGNU1IBBUR75AIA69NS12JBSQ8OZTWAGDM|7247|ERFK|2017-01-04 15:37:05:000000
NE3Z5JE5D6|M|3700|1695477263|7.6436|1942-02-22|Lillian|Edwards|Evelyn Campbell|Quantum Ventures ltd.|Lillian Edwards|KOKY4M2HK0T7T1FL0U3IM5XN6QQE1KZP633N6IVXMBML4|4138|J9UQ|1945-01-16 18:12:41:000000
4F0MHQO1WF|M|8143|919657527|7.4669|1954-02-14|Harper|Moore|Scarlett Moore|Flux Corporation inc.|Harper Moore|1B78LLL08KXZTHKIF6BO5JITTB13KMM9MSNE4KQIZ3LZM|4525|8Z29|2040-05-07 11:51:05:000000
EPU68NDFRC|M|9450|570000409|4.7447|2019-03-25|Hannah|White|Ava Ramirez|Flux Corporation inc.|Hannah White|FY7FSCUN1BE6HAYKBPJN1GHTAFA6N3ILIPYFLFOD55NB5|1357|KH8R|2035-07-23 01:27:43:000000
YC0OO5H0R1|F|8960|9929676|0.3579|2005-07-18|Emily|Perez|Avery Reed|NovaTech Corporation ltd.|Emily Perez|E0TF2PTAXC8KVB1EAEPBO65WXINZHPNVHMVH37JTBO7HG|0800|ET5T|2093-09-29 15:08:55:000000
HZIO0Q9OFG|F|3694|624811228|7.3384|2062-07-30|Jaxon|Allen|Penelope Hall|Blaze Technologies gmbh|Jaxon Allen|RGEMA7LZN9C6B4MG50T0PLCHHQ70ERDX0L1IB3INAXA72|6134|UV6T|1923-11-15 10:47:21:000000
RY99IYRM8Z|M|3792|1128760530|4.942|1968-05-14|Sophia|Davis|Noah Johnson|Innovare Solutions gmbh|Sophia Davis|P6PN4GMPSP5QGEKXUU8ZZYYWVVD1AQYYV96A1QAVDNA4O|5243|WSKD|1919-01-26 03:07:50:000000
A2ZRKWZ7NG|M|6391|1956551314|8.9281|2056-07-17|Camila|Martinez|Alexander Robinson|MegaByte Ventures gmbh|Camila Martinez|Q20RD3ZPJPHVDHQ199WPBT7FKGG7CB6KYYCP7WBUEF3XI|1151|MTGV|1951-04-13 01:15:09:000000
OT53AHS7IB|F|4137|1107381808|4.7829|1961-11-19|Emily|Hernandez|Wyatt Edwards|Evergreen Holdings ltd.|Emily Hernandez|EDRCTQTP9JOA3LU8PR1P05FIDT0VEGV5DQNZWVLUM9EO8|2690|6X1Q|1902-12-18 21:05:58:000000
K6VQ08Q2SF|F|5715|945901373|9.4062|1996-02-16|Lily|Sanchez|Layla Stewart|Celestial Technologies ltd.|Lily Sanchez|EZ3TDSGGO64TX0L7WJ9ZGCC67E0ODU6N19EVDP4ZDQ8HM|4158|I2PS|2010-06-04 23:14:25:000000
1SUTV0QLNO|F|4339|871594428|9.9469|2023-11-05|Victoria|Harris|John Mitchell|Zenith Industries ltd.|Victoria Harris|UUS1QSZ56D4JMRWVAVN8L8K3URJ47FIOUK99UEJ39QNGJ|6700|ST5D|2042-09-13 14:05:39:000000
8QJ0FPP1U6|F|9382|1842099634|9.3535|2083-04-30|Nora|Wilson|Logan Taylor|Acme Corporation ltd.|Nora Wilson|9NC3YWW6AUG5L6SHEDONX47RDQMWL3BUJ3SL9BWUL0PVO|8279|8S36|1942-03-26 20:46:53:000000
V4ID38QU9Y|F|6643|1250872697|0.4618|1995-09-05|Sophia|Lee|Jack Wilson|Delta Dynamics ltd.|Sophia Lee|0SX6Z62KR1KOD9H6WJJZ0HSEQIJM7T2WWZZ11MFL0CS9I|9945|ULZ0|2095-01-02 00:04:35:000000
YW7QYAD6D0|M|6078|1638856630|8.3223|2087-08-24|James|Jones|Charlotte White|Lunar Systems inc.|James Jones|6OVEE9HZSB37GLDO9J5HKVQ31PLOULO99BSZ0L0M83K94|5608|2OIT|2082-06-07 14:30:46:000000
FENG67K8QD|F|3948|1172149122|7.2827|1911-04-28|Evelyn|Young|Michael Carter|Quantum Ventures ltd.|Evelyn Young|6TPG6C9UXTL7ICLIC3PM87AXO84XIVJC7ZLFQXY70N8IP|9136|NF3X|1940-01-20 13:00:12:000000
7CYQBMW6GE|F|4359|2023939239|4.8202|1984-07-08|William|Brown|Elijah Jones|Crimson Enterprises ltd.|William Brown|WEMPEQI6QZQUHZCH1ZXTHMASDF1RVSE45MK67BAHJARF5|2785|S9TB|2044-11-12 02:43:45:000000
BWDFSM4HEW|F|1812|927214127|3.7608|2071-05-06|Zoe|Nelson|Michael Nelson|Acme Corporation ltd.|Zoe Nelson|Q2MPK9FGHVXKYNDVK2LGHLOFZEO3KQX7HVS7D6SBJTEI7|7510|XLXB|1903-11-09 20:51:14:000000
MTRS62OKLR|F|5307|553591950|3.3096|2057-05-31|Charlotte|Johnson|Elijah Adams|Quantum Ventures gmbh|Charlotte Johnson|O7LA2MBF8WID260CM541BWPEVL9S6Z8T4QT7WPRH6SUYI|9307|RSA0|1913-09-10 12:29:47:000000
Q4GHGG28UP|M|1402|1697891080|5.9058|1922-10-21|Grace|Gonzalez|Victoria Baker|Celestial Technologies ltd.|Grace Gonzalez|IL8RKVOYIK7YCT41A8V8FQM9HV8JL74ST96CHO6NDVA3C|8930|7B09|2012-03-11 04:14:03:000000
172GBDXOD3|M|7915|150172667|1.5686|1949-10-05|Zoe|Jackson|Jaxon Carter|Visionary Technologies ltd.|Zoe Jackson|GRL0J9F3F6CM638CXB0AHEP4E5FJ5V1HNXX0XYO4W0YNF|5194|FNMZ|2055-01-20 00:40:37:000000
PJ54ZDNI8Z|M|3222|1680380354|0.6205|1917-02-19|Audrey|Wright|Jackson Torres|Infinite Dynamics ltd.|Audrey Wright|N9PHA7PBO7WMGKXDEIMP0N9HAWEWUKIWME60R05P85EIA|1204|TMZT|2012-02-13 16:08:34:000000
JPPJUW3C4B|M|6930|598699251|4.1389|2016-07-15|Sophia|Edwards|William Ramirez|Jupiter Enterprises ltd.|Sophia Edwards|AJ6LIX3TC3GG63FQ6VVZSLY09ZEQAX7AJT47SKEYW6C7M|7059|D9ZP|2077-06-16 06:18:58:000000
76T08616OH|M|8657|1706233749|3.945|2052-12-18|Harper|Brown|Zoe Wright|Omega Industries ltd.|Harper Brown|2TL80W6TFIV6XZTCKH703KPT2J1PX5RA12TGPLZR3B6OO|7838|CVZL|2064-10-31 04:11:58:000000
NX4SEBLS26|F|8319|1505899805|8.2604|2075-11-27|Mila|Morgan|Elijah Perez|Momentum Solutions ltd.|Mila Morgan|2EKJC2SVEIMGF8RNG7LSK16T1MH9S9R2GU04CB6TV9LZV|0637|T8F1|1947-06-09 16:48:09:000000
KL3IN3QXDQ|M|2457|1083085036|6.9747|2016-08-11|Isabella|Cook|Gabriel Nguyen|AstraTech Solutions inc.|Isabella Cook|50NZI5VXKE24KNI7Z96EY4PU4OXT38OFN5ZX10J24N6IZ|0593|5W5V|1907-11-10 05:32:20:000000
FA3WE5JAAP|M|3365|715896005|1.8239|2010-02-07|Logan|Carter|Jayden Stewart|Jade Industries inc.|Logan Carter|SXTQZUNBH9O5XK6LE96L7YQAHF4MWI5IFAB5ZVOQJXZVK|8140|DCZ2|2098-07-21 20:32:22:000000
CLGI395R4G|M|1394|911975524|0.7399|2058-10-17|Elizabeth|Evans|Noah Cook|Galaxy Enterprises gmbh|Elizabeth Evans|MM783VVFYCED7EJV9J0BQACGP8AI9QUVKAFRJUIPDWRM3|6045|C5NB|2078-06-09 17:34:55:000000
8G3GDYMVXV|M|6775|1745414134|5.1022|2075-06-27|Samuel|Lopez|Mia Phillips|Zenith Industries ltd.|Samuel Lopez|YH1YRLMETCS26K32P6NXIKJP8653KE1WZJCMQBIUL0HQJ|5642|E7HQ|1936-12-08 17:28:47:000000
SWB5GAQFVS|M|4468|1154822684|8.6552|2039-06-29|Aria|Taylor|Noah Flores|Jade Industries inc.|Aria Taylor|EQ1INTQKHD2PLWFFCXWFZO93DP6X8O52YTCKGX08WYRNR|5052|0DZ3|2089-03-09 07:37:18:000000
LFTRBWX91X|M|5535|1026050798|1.6627|1977-09-19|Charlotte|Miller|Jayden Ramirez|Zenith Industries gmbh|Charlotte Miller|5ID22X7K09XLON2XPPO9U7ZZ9A250WLZGFSAINEULCN5W|9651|A0SV|1941-04-20 18:36:04:000000
QIV4FCZ8V3|F|8176|1028874527|8.6001|1933-02-10|Daniel|Clark|Aiden Ramirez|Cascade Solutions gmbh|Daniel Clark|N0TAT79YSUM5H00KNT5NLG7VNZEKQ4VRY6LLAVG9BN6QY|3176|TZW5|2058-05-31 23:36:38:000000
ZNH1M37HII|M|1362|832705646|9.8674|1960-05-07|Savannah|Bailey|Gabriel Robinson|NovaTech Corporation gmbh|Savannah Bailey|6HMZXN0LOL42C91DGP4YAG6WGL5FFX8DW3AWD4K7F9T5A|1215|U2NT|1958-06-03 08:46:56:000000
YW2J8IPCZP|M|5041|332369462|2.9431|1980-07-07|Jackson|Carter|Ethan Wilson|Fusion Technologies inc.|Jackson Carter|DXCWLU564FOYIB0H2PIH0CVZOQMTDZPIP6HT4VR8BVQS2|5988|UAZT|2023-05-30 18:31:42:000000
JG0D64NKBU|M|5278|1611808287|8.9468|2075-03-31|Abigail|Robinson|Lucy Lewis|United Synergy gmbh|Abigail Robinson|YCTQATY4S6F0788RUWLWB9X2GCWUB0R5TJAEQ7CFB4WE6|9219|APHI|2021-06-24 07:25:03:000000
JK7T0H3Q5S|M|8281|1237764736|2.6057|1985-02-24|John|Bailey|Noah Jackson|Solaris Systems ltd.|John Bailey|JE8HSYLTVE8UNN3GNFL716UKSKNVAQ9IFAMG8DCEZXXRO|6256|PN5Z|2049-03-30 08:31:08:000000
9EMKUBVSKW|F|2963|1983115492|6.1152|2079-05-10|Chloe|Brown|Jayden Perez|Eclipse Innovations inc.|Chloe Brown|GHDEQCOEZQR82AE3IRWBA7X3UI5L8Z1KZ2094BU1IZTU0|0220|ZHQU|1991-12-28 12:47:13:000000
AV5ZB53PAE|F|1748|1440849062|3.2552|1930-04-02|Victoria|Cook|Aubrey Wilson|Visionary Technologies ltd.|Victoria Cook|AF5ELWP1KKFBHNGBUUGH42E7YMICOOAXR0R0M5A1L96KP|1212|IOVO|2044-07-23 11:33:21:000000
DSOSKFEZ6H|M|4321|1990879597|4.6266|1952-04-19|Lillian|Clark|Ella Hernandez|Jupiter Enterprises ltd.|Lillian Clark|4IUGQMTY1W8EBL4CB6XE3W1W0MK9XICDPEWMLYHTLFYF1|6129|TWKW|2008-04-20 02:35:43:000000
GMA1NV0S6A|M|6508|374036040|9.6784|1961-04-02|Caden|Flores|Mila Torres|Visionary Technologies gmbh|Caden Flores|A4DHG9FT6JMU7S17RZAXUI5EWQEFOC8FCA03KU3494X8V|3683|2BPQ|2039-11-07 19:53:34:000000
6B4X93QZHL|M|4752|1704544393|2.5297|2071-06-07|Elijah|Robinson|Michael White|Solaris Systems inc.|Elijah Robinson|1ME6UIXMZWZZDKNQF5LKTCWHDDHS0UJNZQCOFX25U611W|1563|FYYA|1909-11-16 20:34:24:000000
1HEGNRIR0S|M|3937|618901695|9.4727|1970-05-19|John|Miller|Bella Green|Jade Industries gmbh|John Miller|TXLWN5HAWIZ9OPTV3YW13AWGUQ93XXU681AW5E3SLDKQ2|8274|PU9C|1951-08-20 07:03:30:000000
9FDBZK6XPL|M|6418|906555294|4.394|2023-01-18|Wyatt|Adams|Zoe Rodriguez|Crimson Enterprises ltd.|Wyatt Adams|DMMI1Y67LS23XWL0O4COXLNSI0D67VVIWII66RSJW0LBM|5542|E455|1927-04-02 03:59:25:000000
YV75EPLSSF|F|4103|624887874|5.8976|2069-07-07|Bella|King|Chloe Brown|Crimson Enterprises inc.|Bella King|YPV1M12JMB2G7CC3EUJ940X2MQR9AGK1HTV1865VYXLPS|0335|TN63|2065-03-17 10:20:31:000000
9B496D5GIS|F|1998|1509247828|2.5691|1981-07-30|Nathan|Young|Nathan Hernandez|Nimbus Corporation ltd.|Nathan Young|57MB742LUVLJLZUXMCNA63Y7FHER8M1D8EO7ZLNOGHLCR|4152|9WWH|2074-10-16 20:03:04:000000
9XVPHWZNJ9|M|6858|1492307897|0.4424|2004-01-18|Owen|Young|Michael Martin|Elite Innovations gmbh|Owen Young|5TT2HAQHABUZ2LWQ0TPD3QI88DV4K0VLCQK62X5IHPQRB|4470|L24N|1906-06-18 13:46:14:000000
7RHRW4IDOP|F|6244|220335250|7.3128|2064-02-21|Wyatt|Cooper|Penelope Martinez|Universal Synergy gmbh|Wyatt Cooper|P8MKG2WWPBFJBIJMQMKUTY1WGG41KJLQJK684Z36VOHUR|4387|V70F|1950-05-07 20:59:47:000000
7YI1OYRXK5|F|9148|640792479|4.4056|1953-09-14|Camilla|Edwards|Joshua Wilson|Vanguard Corporation gmbh|Camilla Edwards|BVNA1LGI7RN04UD70AUSLB4AWUNOCQSYP5K8TOBGYMTJV|0932|C1VX|2015-03-31 14:02:23:000000
AFHNLT281Q|M|7519|426418307|9.4802|1997-03-21|Owen|Davis|Sophia Allen|Delta Dynamics gmbh|Owen Davis|VBRWK4D2E3KZ26W6L5BZNE1I6KEROOZMOB86A88GTH3MD|0511|EFJA|2026-11-07 16:36:58:000000
KPW8YTCJT8|M|7750|2114948040|0.3236|2030-03-11|Grace|Davis|Emily Martin|Elysium Innovations inc.|Grace Davis|ZKTCVAM6LRO7BOVJG2WFQY1HCOC5KZXUAGRGQFMBRHJPQ|0354|5CKG|1913-09-29 04:36:54:000000
GLPSF1FOUC|M|3474|871020602|2.3592|2093-11-30|Charlotte|Cooper|Elizabeth Roberts|Celestial Technologies inc.|Charlotte Cooper|8DMCGDVI0U61UTWBRTT89YGXABN6NNRVO88O8RMS3PTG2|2217|BRCF|1959-02-11 16:57:15:000000
29QD12E3U3|F|7704|121731536|7.186|1934-06-06|Mia|Nelson|Matthew Lopez|Eclipse Innovations ltd.|Mia Nelson|56DGC55FCLFRKP8A05XIJI0ZMVICNXI52E3395KT626CP|3846|CD8T|2049-05-16 17:17:43:000000
K6EYHGNTBN|M|2817|483411056|2.6814|2069-06-10|Joshua|Taylor|Elizabeth Hill|Dynamo Corporation ltd.|Joshua Taylor|7UKQUMSUF992TJIP5VOE9R9PGM9EY7PZCZQLSXO2PJM6A|1177|MYPI|2035-02-08 11:44:02:000000
0FR7LPFU27|M|5036|541267762|1.3785|1991-01-09|Jayden|Gonzalez|Hannah Nguyen|Zenith Industries gmbh|Jayden Gonzalez|O651JIPRC2QBO61P0HROONPV1W610SQ1WM72N1XWPHRLF|5687|50WU|2040-11-20 06:44:23:000000
8Y7CQS7EDS|F|4924|987660736|4.4521|1972-09-02|Zoey|Wright|Riley Richardson|Radiant Technologies ltd.|Zoey Wright|TAPAKBMIMTMERVY86MY64VNHLKSTAD3ZUIWQSN81MK3P2|8607|CTW7|1982-04-18 14:56:03:000000
O57F29QKOR|F|8322|756753291|1.2986|1904-06-23|Harper|Moore|Gabriel Hall|Evergreen Holdings gmbh|Harper Moore|L7NDFVKV890PA382RNKTZTLBD6TPBQZF1ZFTFKHYTRZ4W|7849|P6VG|1934-11-09 03:32:06:000000
9WYXW68K9Z|F|6191|926222895|9.3961|1917-07-03|Noah|Bell|Elizabeth Torres|Dynamo Corporation gmbh|Noah Bell|WMKP33GMN0BIBNOXRY9NEW91JEDQWXZ0JRWH16ZCO7KAA|1498|QZFA|2049-02-24 17:54:45:000000
S1E4XDTFW5|M|4129|180317691|3.7132|2003-10-24|Liam|Smith|Camilla Lee|Flux Corporation ltd.|Liam Smith|T4LY0SWGF9P7H6JAQ1BG9V1RBCICZQBFSSHISAQCYM77U|0535|ZV4S|2079-08-02 16:38:54:000000
NBJU57BBRW|M|7287|1873058101|3.7067|1922-10-10|Amelia|Robinson|Henry Lee|United Synergy gmbh|Amelia Robinson|MZ98RJCR7WSJ2SL2FN5REIG1JIQA5KEM9DAIE08SINKA1|9729|9EQH|2085-08-23 19:27:52:000000
TH71KW8BZR|M|6247|881821855|2.5307|1956-04-21|Noah|Torres|Carter Roberts|Jade Industries gmbh|Noah Torres|96CMFUMX2XX6ROT1JVOFVIGYF6CT5EJHYUTTIMK59NWMB|5149|UGV7|2098-07-30 13:39:33:000000
IBK65SJVFZ|F|9645|567133745|8.3112|1964-12-11|Claire|Perez|Mila Hill|Penta Solutions inc.|Claire Perez|HU17PAH31RSMDSB8LC407ZCIMBRI1CMUPBHAGFZLV6D9L|6946|N5DK|1980-05-01 12:45:33:000000
HX9HZ7F7PH|M|4760|114031807|1.7433|2038-01-10|Grayson|Parker|Lucy Hernandez|United Synergy gmbh|Grayson Parker|JLE1JI49XY5ZSBIXM170FN8BETV9DCMDAVC6AK7OVPJTY|9958|WHRZ|2095-11-01 21:53:01:000000
U8LI7540BD|F|7488|943974954|9.811|2072-05-23|Grayson|Cooper|Emma Robinson|Jade Industries inc.|Grayson Cooper|Q0Y5WMF5YFYP33L9M7A5T9OGXEXCHAUJG7AHB8R8B4NVB|2504|UBGD|1979-12-04 16:36:27:000000
WOYTP2IBI2|F|6693|103776476|4.6969|2018-09-09|Jack|Hall|Samuel Parker|Lunar Systems gmbh|Jack Hall|PCJ4V9EYW7BOPI6UQO6KA72ZF1Y99TF5S1FBN65ABWVXQ|2428|G9YH|2063-03-20 01:02:02:000000
MM4N6YII22|M|2577|312896057|0.7035|1917-04-23|Hannah|Cooper|Hazel Baker|Fusion Technologies ltd.|Hannah Cooper|ODK1GMN9N3ZSRKJ1F8MJJFFVRT5KMP89557SEGZDWXW2T|9754|P79O|1976-12-26 14:20:59:000000
5NVFCD666J|F|9651|35340130|2.9731|2015-05-30|Amelia|Moore|Zoe Martin|Aeon Solutions ltd.|Amelia Moore|ITS1SWWMACHHLQC19EJXI6OZPF67FS11N4LG5EMFD4C3P|5273|UU94|2018-02-06 05:08:16:000000
DTK8YDNR65|M|7939|1491741417|3.9538|1900-11-03|Andrew|Walker|Michael Green|Celestial Technologies ltd.|Andrew Walker|UUBLV804QL61LKL39Y86BCJDMAX0L6LKCNXQDQZZHMD3B|0168|BSOA|2079-01-29 18:49:05:000000
1WXKMS30EA|F|5744|261889976|7.9233|2028-05-18|Joshua|Mitchell|Isabella Hernandez|Zephyr Group ltd.|Joshua Mitchell|D23YQYZJN3AWFGPIIUBEZS9IT40BBZSKNSJTN6P48TOZP|7083|RK2F|1981-08-04 00:34:22:000000
15WO0SNW3Y|M|3678|1052608010|4.346|1913-10-28|Sofia|Parker|Ella Lopez|Luminous Group inc.|Sofia Parker|NBNUSNDXAIZ7EHV7Y2WXGP1LM3ZXS29TWPIX05I1D231M|2366|1EF8|2048-12-02 20:40:30:000000
KK9RNMFAEC|M|2515|670373484|1.2988|1905-10-22|Grace|Sanchez|Hazel Nelson|Eclipse Innovations ltd.|Grace Sanchez|EC5XTR5S7JG38Y6GBPWKVQEPMDOW85H6AKZTM9KRKZ4NW|2570|EUWJ|1911-01-17 22:06:21:000000
ME7QQ26W4W|M|2667|234785081|8.9724|2036-05-16|Addison|Johnson|Lucas Ramirez|Galaxy Enterprises inc.|Addison Johnson|W32XRG6WRN46FNEEH2IVEXVSS2XDWVP28PVAUOKRC01RQ|9217|7OTG|2096-04-23 09:22:43:000000
CXQHJWSHP6|M|3691|339444137|2.3252|2021-05-17|Daniel|Anderson|Mia Cooper|Infinite Dynamics ltd.|Daniel Anderson|JULK8IU72DRIBUDX4XJEOBQ6G90UH0UPVU4SMQQH3MR0M|5708|2GFS|1957-06-16 17:45:55:000000
AC939D4XW9|F|5012|2062774241|3.5331|2007-04-24|Mason|Allen|Olivia Campbell|Flux Corporation inc.|Mason Allen|NPNNOT84D10XWTE1BTUEW4Z25MMKTML8K0FQ0M9P26GU6|9952|SYKR|2087-12-01 19:41:23:000000
VD9YG68YSF|M|7337|532928223|5.2088|1987-09-01|David|Clark|Hannah Anderson|Quantum Ventures ltd.|David Clark|AFINEJ3ZA1XSPKQXBFFGWOKYJNM0DJ2RQQHP4LTLDXJMG|6143|D51B|1948-11-17 21:05:50:000000
003NKT1V9E|F|4402|1587540732|7.2024|1940-05-19|Dylan|Perez|Zoey Edwards|Jade Industries ltd.|Dylan Perez|G6JP7FEGEGOBWNHA5R3JPFOM9RZ2RA25PLA5HQKQJ2PIA|0622|K5SS|2077-11-30 01:23:27:000000
1RBAWIS8LF|M|6923|181743134|2.7789|1963-09-24|Henry|Rogers|Lily Murphy|Jade Industries gmbh|Henry Rogers|57DAVO7W0ZM857JKTPS31IFW9LJ968IJ4CKUNWSZB1MS4|6442|ICHL|1962-08-05 22:46:37:000000
O5YMXTLW1M|M|4049|569173011|5.5785|2043-10-26|Mila|Carter|Mason Cooper|Cascade Solutions gmbh|Mila Carter|UKKWW5Q9J2YOUFEQX3XO24HKX05GMV8COIR1ZFKP30DFH|0290|3LTG|2074-06-02 11:56:27:000000
A71UVAO0A7|F|4211|1401921424|8.1681|2009-04-30|Charlotte|Scott|Jack Evans|BlueSky Ventures gmbh|Charlotte Scott|FNWUDM1S7BT8BXYY0SSDCL6F7NRXI00PNLD88R3OFCU81|6572|SE0R|1986-02-07 08:10:36:000000
P2217DMBXX|M|2470|1752613883|5.1981|2019-12-07|Claire|Collins|Henry Gonzalez|Universal Synergy gmbh|Claire Collins|OPL3CB8ZYCP4SPNAVQT542NZHKC8WHT019AP2WYGKTDAP|3224|K8BM|2098-08-10 06:57:41:000000
62QUOHEAG4|M|4640|719332064|5.7862|2029-06-18|Ella|Moore|Zoey Garcia|AstraTech Solutions gmbh|Ella Moore|3A4RFWV8S6XH8KFRSB0LQ8Q0QFS4ENAXQH2H4UQ3REGXX|7123|YZ1X|1939-06-06 10:03:52:000000
18IJGAE4K4|M|9736|370549902|1.9109|2025-03-27|Lucas|Parker|Isabella Wright|Bliss Enterprises gmbh|Lucas Parker|GBA3JE7SAW6UX86TR7ZMU0D7SFZOWNEX93CE3VL32TLUT|0717|I6UV|1963-07-23 00:23:06:000000
ET9O1XSXIP|M|2137|592249530|2.2797|2007-11-01|Mila|Williams|Aubrey Walker|Flux Corporation gmbh|Mila Williams|AADJ60R5A5F7CSZTWQW383YDQHLF9QUYW0UO8ZWEUBB1J|8829|VHYL|2093-09-12 15:43:28:000000
W22CD8BI1S|F|1212|449921857|2.7937|1977-05-13|Olivia|Rodriguez|Amelia Parker|Evergreen Holdings gmbh|Olivia Rodriguez|X7PIJNZ8GLQVUHGM5VWW7L5ON0X55D6EXEUUY6E8OQ01P|8179|L2A8|2088-09-20 06:54:26:000000
